warmes	adj	warm	warm	тёплый
standuhr	noun	die Standuhr	grandfather clock	напольные часы
gänsehaut	noun	die Gänsehaut	goosebumps	гусиная кожа
flackernden	adj	flackernd	flickering	мерцающий
bereut	verb	bereuen	regrets	жалеет
zurücklegen	verb	zurücklegen	to go back	проходить назад
sport	noun	der Sport	sports	спорт
wenigstens	adv	wenigstens	at least	по крайней мере
zurückgeben	verb	zurückgeben	to give back	отдать назад
bückte	verb	bücken	bent down	нагнулся
mitleid	noun	das Mitleid	pity	жалость
klingelten	verb	klingeln	rang	звенели
überschrift	noun	die Überschrift	headline	заголовок
abriss	noun	der Abriss	demolition	сноса
montagmorgen	noun	der Montagmorgen	Monday morning	понедельник утром
steh	verb	stehen	stand	стой
wilhadistraße	name	Wilhadistraße	Wilhadistraße	Вильхадиштрассе
kasse	noun	die Kasse	cash register	касса
isst	verb	essen	eats	ест
münchen	name	München	Munich	Мюнхен
tschüss	intj	tschüss	goodbye	пока
kühl	adj	kühl	cool	прохладный
vergiss	verb	vergessen	forget	забывай
äh	intj	äh	um	uh
grundschule	noun	die Grundschule	primary school	начальная школа
bockhorster	name	Bockhorster	Bockhorster	Бокхорстер
läutet	verb	läuten	rings	звонит
kirchenglocke	noun	die Kirchenglocke	church bell	церковный колокол
pünktlich	adj	pünktlich	punctual	пунктуальный
schmal	adj	schmal	narrow	узкий
blond	adj	blond	blond	светлый
wagner	name	Wagner	Wagner	Вагнер
dreht	verb	drehen	turns	крутит
regnet	verb	regnen	rains	идёт дождь
schulhof	noun	der Schulhof	schoolyard	школьный двор
krüger	name	Krüger	Krüger	Крюгер
dumme	adj	dumm	stupid	глупый
ärger	noun	der Ärger	annoyance	раздражение
stellt	verb	stellen	puts	ставит
hökerstraße	name	Hökerstraße	Hökerstraße	Хёкерштрассе
glocke	noun	die Glocke	bell	колокол
brezeln	noun	die Brezel	pretzels	крендели
wange	noun	die Wange	cheek	щека
sollst	verb	sollen	should	должен
aufessen	verb	aufessen	to eat up	съесть
teste	verb	testen	test	тестирую
rollt	verb	rollen	rolls	катится
lehnt	verb	lehnen	leans	облокачивается
kennst	verb	kennen	know	знаешь
ketten	noun	die Kette	chains	цепи
kunde	noun	der Kunde	customer	покупатель
zwinkert	verb	zwinkern	winks	подмигивает
weitersagen	verb	weitersagen	to tell	рассказать дальше
backsteinmauern	noun	die Backsteinmauer	brick walls	кирпичные стены
krähen	verb	krähen	crows	каркают
spukt	verb	spuken	haunts	привидится
weggezogen	verb	wegziehen	moved away	переехал
platt	adj	platt	flat	плоский
schiebt	verb	schieben	pushes	толкает
glasscherben	noun	die Glasscherbe	glass shards	осколки стекла
fremd	adj	fremd	strange	странный
wohne	verb	wohnen	live	живу
bürgermeister-hahn-straße	name	Bürgermeister-hahn-straße	Bürgermeister-Hahn-Straße	Штрассе Бургомистра Хана
zögert	verb	zögern	hesitates	колеблется
peinlich	adj	peinlich	embarrassing	неловкий
traut	verb	trauen	dares	смеет
klappert	verb	klappern	clatters	гремит
blech	noun	das Blech	tin	жесть
läufst	verb	laufen	run	бежишь
eisentür	noun	die Eisentür	iron door	железная дверь
quietschen	verb	quietschen	squeaks	пищит
altem	adj	alt	old	старый
eisen	noun	das Eisen	iron	железо
wow	intj	wow	wow	вау
pfeift	verb	pfeifen	whistles	свистит
komm	verb	kommen	come	приходи
runter	adv	runter	down	вниз
stufen	noun	die Stufe	steps	ступени
knarrt	verb	knarren	creaks	скрипит
traurig	adj	traurig	sad	грустный
klemmen	verb	klemmen	stuck	застрял
kratzer	noun	der Kratzer	scratch	царапина
erschrickt	verb	erschrecken	gets frightened	испугался
flackert	verb	flackern	flickers	мерцает
hierlassen	verb	hierlassen	to leave here	оставить здесь
raus	adv	raus	out	наружу
wärme	noun	die Wärme	warmth	тепло
paarmal	adv	paarmal	a couple of times	несколько раз
worum	pron	worum	what about	о чём
apfel	noun	der Apfel	apple	яблоко
samsung	name	Samsung	Samsung	Самсунг
dazugesetzt	verb	dazusetzen	joined in	присоединился
genickt	verb	nicken	nodded	кивнул
versprichst	verb	versprechen	promise	обещаешь
super	intj	super	great	супер
fensterscheibe	noun	die Fensterscheibe	window pane	оконное стекло
sim-karte	noun	die Sim-Karte	SIM card	SIM-карта
akku	noun	der Akku	battery	аккумулятор
außerirdischen	adj	außerirdisch	alien	инопланетный
nudeln	noun	die Nudel	pasta	макаронные изделия
gelächelt	verb	lächeln	smiled	улыбнулся
ausgeatmet	verb	ausatmen	exhaled	выдохнул
passwort	noun	das Passwort	password	пароль
apps	noun	die App	apps	приложения
kontakt	noun	der Kontakt	contact	контакт
zweitausendachtundvierzig	num	zweitausendachtundvierzig	two thousand forty-eight	две тысячи сорок восемь
geflackert	verb	flackern	flickered	мерцал
dagesessen	verb	dasitzen	sat there	сидел там
ticken	verb	ticken	ticks	тикает
geschluckt	verb	schlucken	swallowed	глотнул
geklappt	verb	klappen	worked	сработало
filmt	verb	filmen	films	снимает
umgeschaut	verb	umschauen	looked around	посмотрел вокруг
video	noun	das Video	video	видео
einfachste	adj	einfach	simplest	самый простой
dagestanden	verb	dastehen	stood there	стоял там
rohr	noun	das Rohr	pipe	труба
gebellt	verb	bellen	barked	лаял
froh	adj	froh	glad	радостный
pling	intj	pling	pling	пинг
tippt	verb	tippen	types	печатает
wiedergekommen	verb	wiederkommen	came back	вернулся
gedauert	verb	dauern	lasted	длилось
eiskalt	adj	eiskalt	ice cold	ледяной холодный
