Getränken	n	das Getränk	drink	напиток
bestellen	v	bestellen	order	заказать
rechnete	v	rechnen	calculated	считал
ereignete	v	ereignen	occurred	произошло
Zahlung	n	die Zahlung	payment	платёж
keimte	v	keimen	sprouted	прорастало
hergekommen	v	hergekommen	came here	приходили
Einbestellungen	n	die Einbestellung	summoning	вызовы
stattfanden	v	stattfinden	took place	состоялись
Zentrums	n	das Zentrum	center	центра
wonach	adv	wonach	after which	после чего
Lautsprecher	n	der Lautsprecher	loudspeaker	громкоговоритель
eingehend	adj	eingehend	thorough	подробно
Bildungseinrichtungen	n	die Bildungseinrichtung	educational institution	учебные учреждения
Volksfeind	n	der Volksfeind	enemy of the people	враг народа
Repressionen	n	die Repression	repressions	репрессии
Störsender	n	der Störsender	jammer	помехозащитный передатчик
Gräueltaten	n	die Gräueltat	atrocity	зверства
Kampagne	n	die Kampagne	campaign	кампания
fertiggebracht	v	fertigbringen	accomplished	совершили
antisowjetische	adj	antisowjetisch	anti-Soviet	антисоветские
verängstigten	v	verängstigen	frightened	устрашили
ausgehen	v	ausgehen	assume	предполагать
Organen	n	das Organ	organs	органы
Hinblick	n	der Hinblick	regard	отношении
Tschakino	name	Tschakino	Chakino	Чакино
Technikum	n	das Technikum	technical school	техникум
elektrischer	adj	elektrisch	electrical	электрический
Schuster	n	der Schuster	shoemaker	сапожник
feuchte	adj	feuchte	damp	влажный
gelbe	adj	gelb	yellow	жёлтый
anzuzünden	v	anzünden	ignite	зажигать
verursachten	v	verursachen	caused	вызвали
ereilen	v	ereilen	befall	постигает
Schulbank	n	die Schulbank	school desk	школьная парта
Auswirkungen	n	die Auswirkung	effects	последствия
Klassenkameraden	n	der Klassenkamerad	classmate	одноклассники
erforderliche	adj	erforderlich	required	требуемый
ausreichend	adj	ausreichend	sufficient	достаточный
Schul	n	die Schule	school	школ
Bemerkungen	n	die Bemerkung	remarks	замечания
erzielte	v	erzielen	achieved	добились
verstreuten	v	zerstreuen	scattered	рассеялись
zerstreuten	v	zerstreuen	scattered	рассеялись
abgewartet	v	abwarten	waited	ждали
wuschen	v	waschen	washed	мыли
verspäteten	v	verspäten	delayed	задержали
scharf	adj	scharf	sharp	резкий
demonstrativ	adj	demonstrativ	demonstrative	демонстративно
ruhten	v	ruhen	rested	отдыхали
Anlage	n	die Anlage	facility	объект
rutschigen	adj	rutschig	slippery	скользкий
Vorabend	n	der Vorabend	eve	канун
taumelnd	v	taumeln	staggering	качаясь
Club	n	der Club	club	клуб
Störungen	n	die Störung	disturbances	помехи
Stecker	n	der Stecker	plug	штепсель
Herumlaufen	n	das Herumlaufen	wandering	хождение
irgendjemandem	pron	irgendjemandem	someone	кому-то
Montage	n	die Montage	assembly	монтаж
bekunden	v	bekunden	express	выказать
Lernerfolge	n	der Lernerfolg	learning success	успехи в учёбе
erforderlich	adj	erforderlich	required	требуемый
lebhaft	adj	lebhaft	lively	живо
Aktivierung	n	die Aktivierung	activation	активизация
höheren	adj	hoch	higher	высший
einnahm	v	einnehmen	took	занимал
Veränderung	n	die Veränderung	change	изменение
Leichtigkeit	n	die Leichtigkeit	ease	лёгкость
Nazis	n	der Nazi	Nazis	нацисты
benötigten	v	benötigen	needed	потребовали
Ruß	n	der Ruß	soot	сажа
Radioraum	n	der Radioraum	radio room	радиокабина
gekostet	v	kosten	cost	стоили
reparierte	v	reparieren	repaired	чинил
Panzersoldat	n	der Panzersoldat	tank soldier	танкист
entsprechendes	adj	entsprechend	corresponding	соответствующий
verderben	v	verderben	spoil	портить
hinreichend	adj	hinreichend	sufficient	достаточный
aufrichtig	adj	aufrichtig	sincere	искренний
völlige	adj	völlig	complete	полный
Paktes	n	der Pakt	pact	пакта
Engländer	n	der Engländer	Englishman	англичанин
Frankreich	name	Frankreich	France	Франция
Einschätzungen	n	die Einschätzung	assessments	оценки
Stärke	n	die Stärke	strength	сила
Milieu	n	das Milieu	milieu	среда
gesättigt	adj	gesättigt	satiated	насыщенный
Schulabschluss	n	der Schulabschluss	school graduation	окончание школы
Petrowna	name	Petrowna	Petrovna	Петровна
physikalischen	adj	physikalisch	physical	физический
Deckel	n	der Deckel	lid	крышка
Streitgespräch	n	das Streitgespräch	debate	спор
Wendung	n	die Wendung	turn	поворот
Igorkas	name	Igorkas	Igorka	Игорка
