zwar	adv	zwar	admittedly	конечно
zwischenprüfung	noun	zwischenprüfung	interim exam	промежуточный экзамен
ansehen	verb	ansehen	to look at	смотреть
wichtigen	adj	wichtig	important	важный
select	abbr	select	select	select
subcommittee	abbr	subcommittee	subcommittee	subcommittee
health	abbr	health	health	health
scientific	abbr	scientific	scientific	научный
berater	noun	berater	advisor/consultant	консультант
mikrofone	noun	mikrofon	microphones	микрофоны
beschäftigten	verb	beschäftigen	employed	занял
spionage	noun	spionage	espionage	шпионаж
mikrofonen	noun	mikrofon	microphones	микрофоны
gelaufen	verb	laufen	ran/walked	бежал
verwaltung	noun	verwaltung	administration	администрация
certain	abbr	certain	certain	certain
höflichen	adj	höflich	polite	вежливый
beugte	verb	beugen	bent	согнул
augenwinkel	noun	augenwinkel	corner of eye	уголок глаза
geforscht	verb	forschen	researched	исследовал
beteiligung	noun	beteiligung	participation	участие
substanzen	noun	substanz	substances	вещества
karens	name	karen	Karen	Карен
lass	verb	lassen	let	позволить
unterbrochen	verb	unterbrechen	interrupted	прервал
deine	pron	dein	your	твой
schuld	noun	schuld	fault/debt	вина
krankenbett	noun	krankenbett	hospital bed	больничная кровать
vorgestellt	verb	vorstellen	introduced	представил
patientenakte	noun	patientenakte	patient file	история болезни
krümel	noun	krümel	crumb	крошка
gewartet	verb	warten	waited	ждал
dramatischen	adj	dramatisch	dramatic	драматический
architektur	noun	architektur	architecture	архитектура
bauarbeiter	noun	bauarbeiter	construction worker	строитель
vergleichsweise	adv	vergleichsweise	comparatively	сравнительно
irgendeiner	pron	irgendein	some	какой-то
aufgetaucht	verb	auftauchen	appeared	появился
trost	noun	trost	comfort	утешение
nachvollziehbar	adj	nachvollziehbar	comprehensible	понятный
entscheiden	verb	entscheiden	to decide	решить
klappte	verb	klappen	worked/folded	получилось
regel	noun	regel	rule	правило
eisigen	adj	eisig	icy	ледяной
buchhandlung	noun	buchhandlung	bookstore	книжный магазин
auslage	noun	auslage	display window	витрина
einundfünfzig	num	einundfünfzig	fifty-one	пятьдесят один
stühle	noun	stuhl	chairs	стулья
veranstaltung	noun	veranstaltung	event	мероприятие
üblich	adj	üblich	usual	обычный
darum	adv	darum	therefore	поэтому
vierten	adj	viert	fourth	четвёртый
vertrauenswürdig	adj	vertrauenswürdig	trustworthy	надёжный
neunundzwanzig	num	neunundzwanzig	twenty-nine	двадцать девять
